,Player,Weekly Salary,Annual Salary,Team,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Played,Won,Drawn,Lost,Goals For,Goals Against,Goal Difference,Points,Performance Score,Goals_per_1k,xG_per_1k,Assists_per_1k,G+A_per_1k
87,Stuart Armstrong,65000,3609636,Southampton,sct SCO,MF,29.0,25.0,15.0,1473.0,16.4,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.12,0.0,0.12,0.12,0.12,2.8,2.8,1.4,4.1,0.17,0.08,0.25,0.17,0.25,38.0,9.0,13.0,16.0,43.0,67.0,-24.0,40.0,15.399999999999999,0.0005540724881954856,0.0007757014834736799,0.0,3.3244349291729135e-05
88,Pablo Fornals,65000,3609636,West Ham United,es ESP,"FW,MF",25.0,36.0,32.0,2795.0,31.1,6.0,3.0,6.0,0.0,0.0,4.0,0.0,0.19,0.1,0.29,0.19,0.29,5.0,5.0,5.6,10.6,0.16,0.18,0.34,0.16,0.34,38.0,16.0,8.0,14.0,60.0,51.0,9.0,56.0,50.2,0.0016622174645864569,0.0013851812204887142,0.0008311087322932284,8.034051078834541e-05
89,Oriol Romeu,65000,3609636,Southampton,es ESP,MF,29.0,36.0,34.0,2889.0,32.1,2.0,2.0,2.0,0.0,0.0,9.0,0.0,0.06,0.06,0.12,0.06,0.12,1.3,1.3,2.8,4.1,0.04,0.09,0.13,0.04,0.13,38.0,9.0,13.0,16.0,43.0,67.0,-24.0,40.0,13.200000000000003,0.0005540724881954856,0.00036014711732706566,0.0005540724881954856,3.3244349291729135e-05
90,Daniel Podence,60000,3331972,Wolverhampton Wanderers,pt POR,"FW,MF",25.0,26.0,15.0,1484.0,16.5,2.0,3.0,2.0,0.0,0.0,2.0,0.0,0.12,0.18,0.3,0.12,0.3,1.9,1.9,3.8,5.8,0.12,0.23,0.35,0.12,0.35,38.0,15.0,6.0,17.0,38.0,43.0,-5.0,51.0,26.4,0.000600245140115223,0.0005702328831094618,0.0009003677101728345,9.003677101728346e-05
91,Shane Long,60000,3331972,Southampton,ie IRL,FW,34.0,13.0,3.0,308.0,3.4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.29,0.0,0.29,0.29,0.29,1.0,1.0,0.1,1.1,0.29,0.03,0.32,0.29,0.32,38.0,9.0,13.0,16.0,43.0,67.0,-24.0,40.0,5.2,0.0003001225700576115,0.0003001225700576115,0.0,8.703554531670733e-05
92,Mohamed Elyounoussi,60000,3331972,Southampton,no NOR,"MF,FW",26.0,30.0,23.0,2042.0,22.7,4.0,2.0,4.0,0.0,0.0,4.0,0.0,0.18,0.09,0.26,0.18,0.26,6.0,6.0,2.5,8.5,0.26,0.11,0.37,0.26,0.37,38.0,9.0,13.0,16.0,43.0,67.0,-24.0,40.0,35.0,0.001200490280230446,0.001800735420345669,0.000600245140115223,7.8031868214979e-05
93,Cenk Tosun,60000,3331972,Everton,tr TUR,FW,30.0,1.0,0.0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,11.0,6.0,21.0,43.0,66.0,-23.0,39.0,0.0,0.0,0.0,0.0,0.0
94,Dwight Gayle,60000,3331972,Newcastle United,eng ENG,FW,30.0,8.0,0.0,38.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.5,0.8,0.71,1.19,1.89,0.71,1.89,38.0,13.0,10.0,15.0,44.0,62.0,-18.0,49.0,0.6000000000000001,0.0,9.003677101728346e-05,0.0,0.0
95,Nathan Redmond,60000,3331972,Southampton,eng ENG,"MF,FW",27.0,27.0,20.0,1833.0,20.4,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.05,0.25,0.29,0.05,0.29,1.9,1.9,4.3,6.3,0.09,0.21,0.31,0.09,0.31,38.0,9.0,13.0,16.0,43.0,67.0,-24.0,40.0,31.4,0.0003001225700576115,0.0005702328831094618,0.0015006128502880575,8.703554531670733e-05
96,Scott McTominay,60000,3331972,Manchester United,sct SCO,MF,24.0,30.0,28.0,2387.0,26.5,1.0,1.0,1.0,0.0,0.0,9.0,0.0,0.04,0.04,0.08,0.04,0.08,1.5,1.5,1.8,3.3,0.06,0.07,0.12,0.06,0.12,38.0,16.0,10.0,12.0,57.0,57.0,0.0,58.0,4.6,0.0003001225700576115,0.00045018385508641725,0.0003001225700576115,2.400980560460892e-05
97,Declan Rice,60000,3331972,West Ham United,eng ENG,MF,22.0,36.0,35.0,3179.0,35.3,1.0,4.0,1.0,0.0,0.0,8.0,0.0,0.03,0.11,0.14,0.03,0.14,1.1,1.1,2.0,3.0,0.03,0.06,0.09,0.03,0.09,38.0,16.0,8.0,14.0,60.0,51.0,9.0,56.0,14.2,0.0003001225700576115,0.0003301348270633727,0.001200490280230446,4.201715980806561e-05
98,Jarrod Bowen,60000,3331972,West Ham United,eng ENG,FW,24.0,36.0,34.0,2983.0,33.1,12.0,10.0,12.0,0.0,0.0,6.0,0.0,0.36,0.3,0.66,0.36,0.66,11.1,11.1,5.7,16.8,0.34,0.17,0.51,0.34,0.51,38.0,16.0,8.0,14.0,60.0,51.0,9.0,56.0,105.60000000000001,0.003601470840691338,0.0033313605276394874,0.003001225700576115,0.0001980808962380236
99,Phil Foden,60000,3331972,Manchester City,eng ENG,FW,21.0,28.0,24.0,2128.0,23.6,9.0,5.0,9.0,0.0,0.0,1.0,0.0,0.38,0.21,0.59,0.38,0.59,9.1,9.1,6.6,15.7,0.38,0.28,0.66,0.38,0.66,38.0,29.0,6.0,3.0,99.0,26.0,73.0,93.0,81.4,0.0027011031305185034,0.0027311153875242645,0.0015006128502880575,0.00017707231633399078
100,Divock Origi,60000,3331972,Liverpool,be BEL,FW,26.0,7.0,0.0,133.0,1.5,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.03,0.0,2.03,2.03,2.03,1.6,1.6,0.0,1.6,1.08,0.0,1.08,1.08,1.08,38.0,28.0,8.0,2.0,94.0,26.0,68.0,92.0,15.2,0.0009003677101728345,0.00048019611209217843,0.0,0.0006092488172169513
101,Luis Díaz,56000,3109840,Liverpool,co COL,FW,24.0,13.0,11.0,958.0,10.6,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.38,0.28,0.66,0.38,0.66,4.5,4.5,1.8,6.3,0.42,0.17,0.59,0.42,0.59,38.0,28.0,8.0,2.0,94.0,26.0,68.0,92.0,37.6,0.0012862398065495331,0.0014470197823682246,0.0009646798549121497,0.00021222956808067297
102,Ibrahima Diallo,55000,3054307,Southampton,fr FRA,MF,22.0,23.0,10.0,1023.0,11.4,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.18,0.18,0.0,0.18,0.5,0.5,1.0,1.4,0.04,0.09,0.13,0.04,0.13,38.0,9.0,13.0,16.0,43.0,67.0,-24.0,40.0,8.0,0.0,0.00016370325576309128,0.0006548130230523651,5.8933172074712856e-05
103,James McArthur,55000,3054307,Crystal Palace,sct SCO,MF,33.0,21.0,15.0,1439.0,16.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.19,0.19,0.0,0.19,0.3,0.3,1.0,1.4,0.02,0.06,0.08,0.02,0.08,38.0,11.0,15.0,12.0,50.0,46.0,4.0,48.0,7.6,0.0,9.822195345785476e-05,0.0009822195345785478,6.220723718997469e-05
104,Nampalys Mendy,55000,3054307,Leicester City,sn SEN,MF,29.0,14.0,12.0,1032.0,11.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,14.0,10.0,14.0,62.0,59.0,3.0,52.0,-3.0,0.0,0.0,0.0,0.0
105,Adama Traoré,55000,3054307,Wolverhampton Wanderers,es ESP,FW,25.0,20.0,10.0,1067.0,11.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,2.4,2.4,1.7,4.1,0.2,0.15,0.35,0.2,0.35,38.0,15.0,6.0,17.0,38.0,43.0,-5.0,51.0,12.200000000000001,0.00032740651152618255,0.0007857756276628381,0.0,2.6192520922094607e-05
106,Saïd Benrahma,55000,3054307,West Ham United,dz ALG,"FW,MF",25.0,32.0,26.0,2168.0,24.1,8.0,6.0,8.0,0.0,0.0,0.0,0.0,0.33,0.25,0.58,0.33,0.58,5.1,5.1,3.2,8.3,0.21,0.13,0.35,0.21,0.35,38.0,16.0,8.0,14.0,60.0,51.0,9.0,56.0,66.60000000000001,0.0026192520922094604,0.0016697732087835309,0.0019644390691570955,0.00018989577668518588
107,John McGinn,55000,3054307,Aston Villa,sct SCO,MF,26.0,35.0,35.0,3090.0,34.3,3.0,4.0,3.0,0.0,0.0,8.0,0.0,0.09,0.12,0.2,0.09,0.2,1.5,1.5,4.9,6.4,0.04,0.14,0.19,0.04,0.19,38.0,13.0,6.0,19.0,52.0,54.0,-2.0,45.0,28.799999999999997,0.0009822195345785478,0.0004911097672892739,0.0013096260461047302,6.548130230523651e-05
108,Adam Armstrong,55000,3054307,Southampton,eng ENG,FW,24.0,23.0,17.0,1413.0,15.7,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.13,0.13,0.25,0.13,0.25,4.3,4.3,1.7,6.0,0.27,0.11,0.38,0.27,0.38,38.0,9.0,13.0,16.0,43.0,67.0,-24.0,40.0,25.0,0.0006548130230523651,0.0014078479995625849,0.0006548130230523651,8.185162788154564e-05
109,Moussa Djenepo,55000,3054307,Southampton,ml MLI,MF,23.0,12.0,5.0,457.0,5.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.2,1.7,0.3,0.05,0.34,0.3,0.34,38.0,9.0,13.0,16.0,43.0,67.0,-24.0,40.0,0.3999999999999999,0.0,0.0004911097672892739,0.0,0.0
110,Jean-Philippe Mateta,50000,2776643,Crystal Palace,fr FRA,FW,24.0,22.0,13.0,1145.0,12.7,5.0,1.0,5.0,0.0,0.0,2.0,0.0,0.39,0.08,0.47,0.39,0.47,5.5,5.5,1.3,6.8,0.43,0.11,0.54,0.43,0.54,38.0,11.0,15.0,12.0,50.0,46.0,4.0,48.0,34.6,0.001800735636522232,0.001980809200174455,0.0003601471273044464,0.0001692691498330898
111,Maxwel Cornet,50000,2776643,Burnley,ci CIV,"FW,MF",24.0,26.0,21.0,1766.0,19.6,9.0,1.0,9.0,0.0,1.0,2.0,0.0,0.46,0.05,0.51,0.46,0.51,6.7,5.9,1.5,7.4,0.34,0.07,0.42,0.3,0.38,38.0,7.0,14.0,17.0,34.0,53.0,-19.0,35.0,51.8,0.0032413241457400176,0.002412985752939791,0.0003601471273044464,0.00018367503492526768
112,Jack Harrison,50000,2776643,Leeds United,eng ENG,"FW,MF",24.0,35.0,32.0,2639.0,29.3,8.0,1.0,8.0,0.0,0.0,3.0,0.0,0.27,0.03,0.31,0.27,0.31,4.0,4.0,2.6,6.6,0.14,0.09,0.22,0.14,0.22,38.0,9.0,11.0,18.0,42.0,79.0,-37.0,38.0,45.2,0.002881177018435571,0.0014405885092177856,0.0003601471273044464,0.00011164560946437838
113,Rúben Neves,50000,2776643,Wolverhampton Wanderers,pt POR,MF,24.0,33.0,31.0,2661.0,29.6,4.0,2.0,4.0,0.0,0.0,9.0,0.0,0.14,0.07,0.2,0.14,0.2,1.2,1.2,2.2,3.4,0.04,0.07,0.12,0.04,0.12,38.0,15.0,6.0,17.0,38.0,43.0,-5.0,51.0,19.799999999999997,0.0014405885092177856,0.00043217655276533566,0.0007202942546088928,7.202942546088928e-05
114,Albert Sambi Lokonga,50000,2776643,Arsenal,be BEL,MF,21.0,19.0,12.0,1134.0,12.6,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.8,1.4,0.05,0.06,0.11,0.05,0.11,38.0,22.0,3.0,13.0,61.0,48.0,13.0,69.0,-2.2,0.0,0.00021608827638266783,0.0,0.0
115,Mohamed Elneny,50000,2776643,Arsenal,eg EGY,MF,29.0,14.0,8.0,806.0,9.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.22,0.22,0.0,0.22,0.2,0.2,0.6,0.7,0.02,0.06,0.08,0.02,0.08,38.0,22.0,3.0,13.0,61.0,48.0,13.0,69.0,6.6000000000000005,0.0,7.202942546088928e-05,0.0007202942546088928,7.92323680069782e-05
116,Jeffrey Schlupp,50000,2776643,Crystal Palace,gh GHA,"MF,FW",28.0,32.0,20.0,1851.0,20.6,4.0,1.0,4.0,0.0,0.0,1.0,0.0,0.19,0.05,0.24,0.19,0.24,3.1,3.1,1.8,4.9,0.15,0.09,0.24,0.15,0.24,38.0,11.0,15.0,12.0,50.0,46.0,4.0,48.0,27.8,0.0014405885092177856,0.001116456094643784,0.0003601471273044464,8.643531055306713e-05
117,Harry Winks,50000,2776643,Tottenham Hotspur,eng ENG,MF,25.0,19.0,9.0,912.0,10.1,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,1.5,1.6,0.01,0.15,0.16,0.01,0.16,38.0,22.0,5.0,11.0,69.0,40.0,29.0,71.0,4.2,0.0,3.601471273044464e-05,0.0003601471273044464,3.601471273044464e-05
118,Pedro Neto,50000,2776643,Wolverhampton Wanderers,pt POR,"FW,MF",21.0,13.0,5.0,466.0,5.2,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.19,0.19,0.39,0.19,0.39,1.5,1.5,1.1,2.6,0.29,0.22,0.51,0.29,0.51,38.0,15.0,6.0,17.0,38.0,43.0,-5.0,51.0,9.2,0.0003601471273044464,0.0005402206909566696,0.0003601471273044464,0.0001404573796487341
119,Mark Noble,50000,2776643,West Ham United,eng ENG,MF,34.0,11.0,3.0,332.0,3.7,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.27,0.0,0.27,0.0,0.0,1.5,0.0,0.2,0.2,0.41,0.06,0.47,0.0,0.06,38.0,16.0,8.0,14.0,60.0,51.0,9.0,56.0,4.4,0.0003601471273044464,0.0005402206909566696,0.0,9.723972437220054e-05
120,Callum Wilson,46000,2554512,Newcastle United,eng ENG,FW,29.0,18.0,16.0,1386.0,15.4,8.0,0.0,6.0,2.0,2.0,4.0,0.0,0.52,0.0,0.52,0.39,0.39,6.5,5.0,0.6,5.5,0.42,0.04,0.46,0.32,0.36,38.0,13.0,10.0,15.0,44.0,62.0,-18.0,49.0,39.2,0.0031317136110536963,0.002544517308981128,0.0,0.00020356138471849024
121,Keinan Davis,45000,2498979,Aston Villa,eng ENG,FW,23.0,1.0,0.0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,13.0,6.0,19.0,52.0,54.0,-2.0,45.0,0.0,0.0,0.0,0.0,0.0
122,Michael Olise,45000,2498979,Crystal Palace,fr FRA,"FW,MF",19.0,26.0,12.0,1141.0,12.7,2.0,5.0,2.0,0.0,0.0,4.0,0.0,0.16,0.39,0.55,0.16,0.55,1.4,1.4,3.4,4.8,0.11,0.27,0.38,0.11,0.38,38.0,11.0,15.0,12.0,50.0,46.0,4.0,48.0,28.6,0.0008003268534869641,0.0005602287974408749,0.00200081713371741,0.00022008988470891515
123,Tom Cleverley,45000,2498979,Watford,eng ENG,MF,31.0,28.0,20.0,1616.0,18.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.11,0.11,0.0,0.11,0.8,0.8,2.0,2.9,0.05,0.11,0.16,0.05,0.16,38.0,6.0,5.0,27.0,34.0,77.0,-43.0,23.0,9.6,0.0,0.0003201307413947857,0.0008003268534869641,4.401797694178303e-05
124,Ayoze Pérez,45000,2498979,Leicester City,es ESP,"MF,FW",28.0,14.0,6.0,445.0,4.9,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.4,0.61,1.01,0.4,1.01,1.5,1.5,0.9,2.4,0.31,0.18,0.49,0.31,0.49,38.0,14.0,10.0,14.0,62.0,59.0,3.0,52.0,18.8,0.0008003268534869641,0.0006002451401152231,0.0012004902802304463,0.0004041650610109169
125,Morgan Sanson,45000,2498979,Aston Villa,fr FRA,MF,26.0,10.0,3.0,356.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,38.0,13.0,6.0,19.0,52.0,54.0,-2.0,45.0,0.0,0.0,0.0,0.0,0.0
126,Eddie Nketiah,45000,2498979,Arsenal,eng ENG,FW,22.0,21.0,8.0,835.0,9.3,5.0,1.0,5.0,0.0,0.0,3.0,0.0,0.54,0.11,0.65,0.54,0.65,4.6,4.6,1.4,6.1,0.5,0.16,0.65,0.5,0.65,38.0,22.0,3.0,13.0,61.0,48.0,13.0,69.0,32.0,0.00200081713371741,0.0018407517630200175,0.00040016342674348206,0.00026010622738326333
127,Milot Rashica,45000,2498979,Norwich City,xk KVX,"FW,MF",25.0,31.0,25.0,2229.0,24.8,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.04,0.08,0.12,0.04,0.12,2.7,2.7,2.6,5.3,0.11,0.1,0.21,0.11,0.21,38.0,5.0,7.0,26.0,23.0,84.0,-61.0,22.0,20.6,0.00040016342674348206,0.0010804412522074016,0.0008003268534869641,4.801961120921785e-05
128,Bryan Mbeumo,45000,2498979,Brentford,fr FRA,FW,21.0,35.0,34.0,2905.0,32.3,4.0,7.0,3.0,1.0,1.0,4.0,0.0,0.12,0.22,0.34,0.09,0.31,9.7,9.0,3.6,12.5,0.3,0.11,0.41,0.28,0.39,38.0,13.0,7.0,18.0,48.0,56.0,-8.0,46.0,58.2,0.0016006537069739282,0.003881585239411776,0.0028011439872043745,0.00013605556509278392
129,Ryan Fraser,42000,2332380,Newcastle United,sct SCO,"FW,MF",27.0,27.0,18.0,1465.0,16.3,2.0,3.0,2.0,0.0,0.0,3.0,0.0,0.12,0.18,0.31,0.12,0.31,2.8,2.8,2.2,5.1,0.17,0.14,0.31,0.17,0.31,38.0,13.0,10.0,15.0,44.0,62.0,-18.0,49.0,24.0,0.0008574932043663554,0.0012004904861128974,0.0012862398065495331,0.00013291144667678507
130,Miguel Almirón,42000,2332380,Newcastle United,py PAR,"MF,FW",27.0,30.0,19.0,1716.0,19.1,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.05,0.0,0.05,0.05,0.05,2.1,2.1,0.7,2.7,0.11,0.03,0.14,0.11,0.14,38.0,13.0,10.0,15.0,44.0,62.0,-18.0,49.0,7.6,0.0004287466021831777,0.0009003678645846732,0.0,2.1437330109158885e-05
131,Josh Brownhill,40000,2221315,Burnley,eng ENG,MF,25.0,35.0,32.0,2955.0,32.8,2.0,3.0,2.0,0.0,0.0,10.0,0.0,0.06,0.09,0.15,0.06,0.15,1.4,1.4,2.5,3.9,0.04,0.08,0.12,0.04,0.12,38.0,7.0,14.0,17.0,34.0,53.0,-19.0,35.0,14.8,0.0009003675750625192,0.0006302573025437634,0.001350551362593779,6.752756812968894e-05
132,Ashley Barnes,40000,2221315,Burnley,eng ENG,FW,31.0,23.0,8.0,808.0,9.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.11,0.0,0.11,0.0,0.0,1.8,1.0,1.6,2.6,0.2,0.18,0.38,0.11,0.29,38.0,7.0,14.0,17.0,34.0,53.0,-19.0,35.0,5.199999999999999,0.0004501837875312596,0.0008103308175562673,0.0,4.9520216628438556e-05
133,Emile Smith Rowe,40000,2221315,Arsenal,eng ENG,"MF,FW",21.0,33.0,21.0,1921.0,21.3,10.0,2.0,10.0,0.0,0.0,1.0,0.0,0.47,0.09,0.56,0.47,0.56,5.8,5.8,2.2,8.0,0.27,0.1,0.37,0.27,0.37,38.0,22.0,3.0,13.0,61.0,48.0,13.0,69.0,61.0,0.0045018378753125966,0.002611065967681306,0.0009003675750625192,0.0002521029210175054
134,Andros Townsend,40000,2221315,Everton,eng ENG,MF,30.0,21.0,17.0,1455.0,16.2,3.0,2.0,2.0,1.0,1.0,3.0,0.0,0.19,0.12,0.31,0.12,0.25,2.3,1.5,2.4,3.9,0.14,0.15,0.29,0.09,0.24,38.0,11.0,6.0,21.0,43.0,66.0,-23.0,39.0,22.8,0.001350551362593779,0.001035422711321897,0.0009003675750625192,0.0001395569741346905
135,Oliver Skipp,40000,2221315,Tottenham Hotspur,eng ENG,MF,20.0,18.0,14.0,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.9,1.1,0.01,0.06,0.07,0.01,0.07,38.0,22.0,5.0,11.0,69.0,40.0,29.0,71.0,-3.8,0.0,9.003675750625193e-05,0.0,0.0
136,Harvey Barnes,40000,2221315,Leicester City,eng ENG,"FW,MF",23.0,32.0,24.0,2101.0,23.3,6.0,10.0,6.0,0.0,0.0,2.0,0.0,0.26,0.43,0.69,0.26,0.69,6.8,6.8,4.0,10.8,0.29,0.17,0.46,0.29,0.46,38.0,14.0,10.0,14.0,62.0,59.0,3.0,52.0,73.6,0.002701102725187558,0.0030612497552125655,0.0045018378753125966,0.0003106268133965691
137,Joshua King,39231,2178597,Watford,no NOR,FW,29.0,32.0,27.0,2248.0,25.0,5.0,3.0,4.0,1.0,1.0,5.0,0.0,0.2,0.12,0.32,0.16,0.28,8.0,7.2,3.2,10.4,0.32,0.13,0.45,0.29,0.42,38.0,6.0,5.0,27.0,34.0,77.0,-43.0,23.0,44.8,0.002295055028534419,0.0036720880456550704,0.0013770330171206514,0.00014688352182620282
138,Ademola Lookman,39231,2178597,Leicester City,ng NGA,"FW,MF",23.0,26.0,16.0,1453.0,16.1,6.0,0.0,6.0,0.0,0.0,2.0,0.0,0.37,0.0,0.37,0.37,0.37,5.1,5.1,1.9,6.9,0.31,0.12,0.43,0.31,0.43,38.0,14.0,10.0,14.0,62.0,59.0,3.0,52.0,36.0,0.002754066034241303,0.002340956129105107,0.0,0.000169834072111547
139,Jack Cork,38077,2114521,Burnley,eng ENG,MF,32.0,20.0,20.0,1670.0,18.6,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.05,0.0,0.05,0.05,0.05,0.8,0.8,0.1,0.9,0.04,0.01,0.05,0.04,0.05,38.0,7.0,14.0,17.0,34.0,53.0,-19.0,35.0,1.7999999999999998,0.0004729203446075967,0.0003783362756860774,0.0,2.3646017230379836e-05
140,Dale Stephens,37500,2082482,Burnley,eng ENG,MF,32.0,3.0,1.0,124.0,1.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.03,0.06,0.02,0.06,38.0,7.0,14.0,17.0,34.0,53.0,-19.0,35.0,-1.0,0.0,0.0,0.0,0.0
141,Ashley Westwood,35962,1997047,Burnley,eng ENG,MF,31.0,27.0,26.0,2287.0,25.4,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.12,0.12,0.0,0.12,0.8,0.8,3.6,4.3,0.03,0.14,0.17,0.03,0.17,38.0,7.0,14.0,17.0,34.0,53.0,-19.0,35.0,10.8,0.0,0.00040059147331034274,0.0015022180249137853,6.008872099655141e-05
142,Wout Weghorst,35000,1943650,Burnley,nl NED,FW,28.0,20.0,17.0,1450.0,16.1,2.0,3.0,2.0,0.0,0.0,3.0,0.0,0.12,0.19,0.31,0.12,0.31,4.2,4.2,1.4,5.7,0.26,0.09,0.35,0.26,0.35,38.0,7.0,14.0,17.0,34.0,53.0,-19.0,35.0,25.2,0.0010289918452396265,0.0021608828750032155,0.0015434877678594397,0.0001594937360121421
143,Ainsley Maitland-Niles,35000,1943650,Arsenal,eng ENG,MF,23.0,8.0,2.0,268.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.01,0.12,0.13,0.01,0.13,38.0,22.0,3.0,13.0,61.0,48.0,13.0,69.0,0.6,0.0,0.0,0.0,0.0
144,Jordan Ayew,35000,1943650,Crystal Palace,gh GHA,FW,29.0,31.0,23.0,2019.0,22.4,3.0,3.0,3.0,0.0,0.0,2.0,0.0,0.13,0.13,0.27,0.13,0.27,3.7,3.7,2.3,6.1,0.17,0.1,0.27,0.17,0.27,38.0,11.0,15.0,12.0,50.0,46.0,4.0,48.0,31.0,0.0015434877678594397,0.001903634913693309,0.0015434877678594397,0.00013891389910734958
145,Will Hughes,35000,1943650,Crystal Palace,eng ENG,MF,26.0,16.0,13.0,1053.0,11.7,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.09,0.09,0.0,0.09,0.2,0.2,0.7,0.8,0.01,0.06,0.07,0.01,0.07,38.0,11.0,15.0,12.0,50.0,46.0,4.0,48.0,-1.2000000000000002,0.0,0.00010289918452396264,0.0005144959226198132,4.6304633035783185e-05
146,Youri Tielemans,35000,1943650,Leicester City,be BEL,MF,24.0,32.0,29.0,2631.0,29.2,6.0,4.0,4.0,2.0,2.0,3.0,0.0,0.21,0.14,0.34,0.14,0.27,4.6,3.1,4.9,7.9,0.16,0.17,0.32,0.11,0.27,38.0,14.0,10.0,14.0,62.0,59.0,3.0,52.0,49.0,0.0030869755357188795,0.0023666812440511407,0.002057983690479253,0.0001749286136907365
147,Jeff Hendrick,35000,1943650,Newcastle United,ie IRL,MF,29.0,3.0,0.0,72.0,0.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.25,0.0,1.25,1.25,1.25,0.0,0.0,0.0,0.1,0.04,0.06,0.1,0.04,0.1,38.0,13.0,10.0,15.0,44.0,62.0,-18.0,49.0,4.0,0.0005144959226198132,0.0,0.0,0.0006431199032747666
148,Dan Gosling,35000,1943650,Watford,eng ENG,MF,31.0,4.0,2.0,166.0,1.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.54,0.0,0.54,0.54,0.54,0.2,0.2,0.0,0.2,0.1,0.01,0.11,0.1,0.11,38.0,6.0,5.0,27.0,34.0,77.0,-43.0,23.0,4.4,0.0005144959226198132,0.00010289918452396264,0.0,0.00027782779821469917
149,Ozan Tufan,33077,1836856,Watford,tr TUR,MF,26.0,7.0,4.0,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.8,0.14,0.07,0.2,0.14,0.2,38.0,6.0,5.0,27.0,34.0,77.0,-43.0,23.0,1.4,0.0,0.0002722042446441093,0.0,0.0
150,Pierre Lees-Melou,31154,1730062,Norwich City,fr FRA,MF,28.0,33.0,27.0,2265.0,25.2,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.04,0.0,0.04,0.04,0.04,1.6,1.6,1.8,3.4,0.06,0.07,0.14,0.06,0.14,38.0,5.0,7.0,26.0,23.0,84.0,-61.0,22.0,5.800000000000001,0.0005780139671295018,0.0009248223474072029,0.0,2.312055868518007e-05
151,Eberechi Eze,30000,1665986,Crystal Palace,eng ENG,"MF,FW",23.0,13.0,6.0,605.0,6.7,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.15,0.15,0.3,0.15,0.3,0.5,0.5,0.9,1.4,0.08,0.13,0.21,0.08,0.21,38.0,11.0,15.0,12.0,50.0,46.0,4.0,48.0,8.8,0.000600245140115223,0.0003001225700576115,0.000600245140115223,0.0001800735420345669
