,Player,Weekly Salary,Annual Salary,Team,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Played,Won,Drawn,Lost,Goals For,Goals Against,Goal Difference,Points,Performance Score,Goals_per_1k,xG_per_1k,Assists_per_1k,G+A_per_1k
38,Fred,120000,6663944,Manchester United,br BRA,MF,28.0,28.0,24.0,2028.0,22.5,4.0,4.0,4.0,0.0,0.0,5.0,0.0,0.18,0.18,0.36,0.18,0.36,1.5,1.5,2.0,3.4,0.07,0.09,0.15,0.07,0.15,38.0,16.0,10.0,12.0,57.0,57.0,0.0,58.0,30.0,0.000600245140115223,0.00022509192754320863,0.000600245140115223,5.4022062610370067e-05
39,Martin Ødegaard,115000,6386279,Arsenal,no NOR,MF,22.0,36.0,32.0,2785.0,30.9,7.0,4.0,7.0,0.0,0.0,4.0,0.0,0.23,0.13,0.36,0.23,0.36,4.8,4.8,6.8,11.6,0.16,0.22,0.38,0.16,0.38,38.0,22.0,3.0,13.0,61.0,48.0,13.0,69.0,59.2,0.001096099935502348,0.0007516113843444672,0.0006263428202870561,5.637085382583504e-05
40,André Gomes,112308,6236768,Everton,pt POR,MF,28.0,14.0,7.0,619.0,6.9,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.15,0.15,0.0,0.15,0.7,0.7,0.2,0.9,0.1,0.03,0.13,0.1,0.13,38.0,11.0,6.0,21.0,43.0,66.0,-23.0,39.0,1.8000000000000007,0.0,0.00011223762051113654,0.0001603394578730522,2.405091868095783e-05
41,Jorginho,110000,6108615,Chelsea,it ITA,MF,29.0,29.0,26.0,2273.0,25.3,6.0,2.0,0.0,6.0,7.0,5.0,0.0,0.24,0.08,0.32,0.0,0.08,5.7,0.4,2.8,3.2,0.23,0.11,0.34,0.02,0.13,38.0,21.0,11.0,6.0,76.0,33.0,43.0,74.0,31.4,0.0009822193737860382,0.0009331084050967364,0.00032740645792867943,5.238503326858871e-05
42,James Maddison,110000,6108615,Leicester City,eng ENG,"MF,FW",24.0,35.0,28.0,2459.0,27.3,12.0,8.0,12.0,0.0,0.0,3.0,0.0,0.44,0.29,0.73,0.44,0.73,8.2,8.2,4.8,13.0,0.3,0.18,0.48,0.3,0.48,38.0,14.0,10.0,14.0,62.0,59.0,3.0,52.0,95.0,0.0019644387475720765,0.0013423664775075856,0.0013096258317147177,0.00011950335714396799
43,Dejan Kulusevski,110000,6108615,Tottenham Hotspur,se SWE,"MF,FW",21.0,18.0,14.0,1261.0,14.0,5.0,8.0,5.0,0.0,0.0,3.0,0.0,0.36,0.57,0.93,0.36,0.93,3.4,3.4,3.5,6.9,0.24,0.25,0.5,0.24,0.5,38.0,22.0,5.0,11.0,69.0,40.0,29.0,71.0,54.8,0.0008185161448216986,0.000556590978478755,0.0013096258317147177,0.00015224400293683594
44,Rodrigo,100000,5553286,Leeds United,es ESP,"MF,FW",30.0,31.0,27.0,2265.0,25.2,6.0,1.0,5.0,1.0,1.0,9.0,0.0,0.24,0.04,0.28,0.2,0.24,4.9,4.1,4.6,8.8,0.19,0.18,0.38,0.16,0.35,38.0,9.0,11.0,18.0,42.0,79.0,-37.0,38.0,35.400000000000006,0.0010804413819133392,0.0008823604618958937,0.0001800735636522232,5.04205978226225e-05
45,João Moutinho,100000,5553286,Wolverhampton Wanderers,pt POR,MF,34.0,35.0,34.0,2970.0,33.0,2.0,1.0,2.0,0.0,0.0,4.0,0.0,0.06,0.03,0.09,0.06,0.09,1.0,1.0,2.4,3.5,0.03,0.07,0.11,0.03,0.11,38.0,15.0,6.0,17.0,38.0,43.0,-5.0,51.0,13.8,0.0003601471273044464,0.0001800735636522232,0.0001800735636522232,1.620662072870009e-05
46,Sadio Mané,100000,5553286,Liverpool,sn SEN,FW,29.0,34.0,32.0,2819.0,31.3,16.0,2.0,16.0,0.0,0.0,5.0,0.0,0.51,0.06,0.57,0.51,0.57,16.7,16.7,4.4,21.1,0.53,0.14,0.67,0.53,0.67,38.0,28.0,8.0,2.0,94.0,26.0,68.0,92.0,107.2,0.002881177018435571,0.0030072285129921273,0.0003601471273044464,0.00010264193128176722
47,James Ward-Prowse,100000,5553286,Southampton,eng ENG,MF,26.0,36.0,36.0,3215.0,35.7,10.0,5.0,6.0,4.0,4.0,3.0,1.0,0.28,0.14,0.42,0.17,0.31,5.4,2.3,6.2,8.5,0.15,0.17,0.32,0.07,0.24,38.0,9.0,13.0,16.0,43.0,67.0,-24.0,40.0,66.0,0.001800735636522232,0.0009723972437220054,0.000900367818261116,7.563089673393374e-05
48,Leon Bailey,100000,5553286,Aston Villa,jm JAM,"FW,MF",23.0,18.0,7.0,761.0,8.5,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.12,0.24,0.35,0.12,0.35,1.6,1.6,0.6,2.2,0.19,0.07,0.26,0.19,0.26,38.0,13.0,6.0,19.0,52.0,54.0,-2.0,45.0,11.399999999999999,0.0001800735636522232,0.00028811770184355713,0.0003601471273044464,6.302574727827812e-05
49,Raúl Jiménez,100000,5553286,Wolverhampton Wanderers,mx MEX,FW,30.0,34.0,30.0,2631.0,29.2,6.0,4.0,5.0,1.0,1.0,9.0,2.0,0.21,0.14,0.34,0.17,0.31,6.6,6.1,2.7,8.7,0.23,0.09,0.32,0.21,0.3,38.0,15.0,6.0,17.0,38.0,43.0,-5.0,51.0,38.6,0.0010804413819133392,0.001188485520104673,0.0007202942546088928,6.122501164175589e-05
50,Hakim Ziyech,100000,5553286,Chelsea,ma MAR,"FW,MF",28.0,23.0,14.0,1319.0,14.7,4.0,3.0,4.0,0.0,0.0,3.0,0.0,0.27,0.2,0.48,0.27,0.48,3.4,3.4,3.5,6.9,0.23,0.24,0.47,0.23,0.47,38.0,21.0,11.0,6.0,76.0,33.0,43.0,74.0,35.8,0.0007202942546088928,0.0006122501164175589,0.0005402206909566696,8.643531055306713e-05
51,Dominic Calvert-Lewin,100000,5553286,Everton,eng ENG,FW,24.0,17.0,15.0,1283.0,14.3,5.0,2.0,3.0,2.0,3.0,2.0,0.0,0.35,0.14,0.49,0.21,0.35,6.8,4.6,1.8,6.4,0.48,0.13,0.61,0.32,0.45,38.0,11.0,6.0,21.0,43.0,66.0,-23.0,39.0,36.800000000000004,0.000900367818261116,0.0012245002328351178,0.0003601471273044464,8.823604618958937e-05
52,Ross Barkley,96154,5339698,Chelsea,eng ENG,MF,27.0,6.0,1.0,179.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,1.2,1.2,0.7,1.9,0.6,0.33,0.94,0.6,0.94,38.0,21.0,11.0,6.0,76.0,33.0,43.0,74.0,7.800000000000001,0.000187276508896196,0.0002247318106754352,0.0,9.3638254448098e-05
53,Richarlison,90000,4997958,Everton,br BRA,"FW,MF",24.0,30.0,28.0,2523.0,28.0,10.0,5.0,7.0,3.0,3.0,9.0,0.0,0.36,0.18,0.54,0.25,0.43,10.2,7.9,2.4,10.3,0.36,0.09,0.45,0.28,0.37,38.0,11.0,6.0,21.0,43.0,66.0,-23.0,39.0,66.6,0.00200081713371741,0.002040833476391758,0.001000408566858705,0.00010804412522074016
54,Gabriel Jesus,90000,4997958,Manchester City,br BRA,FW,24.0,28.0,21.0,1877.0,20.9,8.0,8.0,7.0,1.0,1.0,1.0,0.0,0.38,0.38,0.77,0.34,0.72,10.1,9.4,5.4,14.7,0.49,0.26,0.74,0.45,0.71,38.0,29.0,6.0,3.0,99.0,26.0,73.0,93.0,84.6,0.0016006537069739282,0.0020208253050545844,0.0016006537069739282,0.0001540629192962406
55,Lucas Moura,90000,4997958,Tottenham Hotspur,br BRA,"FW,MF",28.0,34.0,19.0,1775.0,19.7,2.0,6.0,2.0,0.0,0.0,4.0,0.0,0.1,0.3,0.41,0.1,0.41,3.7,3.7,4.4,8.1,0.19,0.23,0.41,0.19,0.41,38.0,22.0,5.0,11.0,69.0,40.0,29.0,71.0,38.2,0.00040016342674348206,0.0007403023394754419,0.0012004902802304463,8.203350248241382e-05
56,Diogo Jota,90000,4997958,Liverpool,pt POR,FW,24.0,35.0,27.0,2364.0,26.3,15.0,4.0,15.0,0.0,0.0,3.0,0.0,0.57,0.15,0.72,0.57,0.72,16.1,16.1,5.5,21.6,0.61,0.21,0.82,0.61,0.82,38.0,28.0,8.0,2.0,94.0,26.0,68.0,92.0,112.2,0.0030012257005761155,0.003221315585285031,0.0008003268534869641,0.00014405883362765353
57,Joelinton,85000,4720293,Newcastle United,br BRA,"MF,FW",24.0,35.0,30.0,2558.0,28.4,4.0,1.0,4.0,0.0,0.0,8.0,0.0,0.14,0.04,0.18,0.14,0.18,4.1,4.1,1.8,6.0,0.15,0.06,0.21,0.15,0.21,38.0,13.0,10.0,15.0,44.0,62.0,-18.0,49.0,22.8,0.0008474050233746084,0.0008685901489589736,0.0002118512558436521,3.813322605185738e-05
58,Michail Antonio,85000,4720293,West Ham United,jm JAM,FW,31.0,36.0,34.0,2971.0,33.0,10.0,8.0,10.0,0.0,1.0,8.0,1.0,0.3,0.24,0.55,0.3,0.55,11.1,10.8,6.6,17.5,0.34,0.2,0.54,0.33,0.53,38.0,16.0,8.0,14.0,60.0,51.0,9.0,56.0,87.8,0.002118512558436521,0.0023515489398645384,0.0016948100467492168,0.00011651819071400866
59,Fábio Silva,80000,4442629,Wolverhampton Wanderers,pt POR,FW,19.0,22.0,6.0,572.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.3,0.2,2.4,0.36,0.02,0.38,0.36,0.38,38.0,15.0,6.0,17.0,38.0,43.0,-5.0,51.0,5.0,0.0,0.0005177114721936042,0.0,0.0
60,Mason Mount,80000,4442629,Chelsea,eng ENG,"MF,FW",22.0,32.0,27.0,2363.0,26.3,11.0,10.0,10.0,1.0,1.0,4.0,0.0,0.42,0.38,0.8,0.38,0.76,8.9,8.1,6.7,14.8,0.34,0.25,0.59,0.31,0.56,38.0,21.0,11.0,6.0,76.0,33.0,43.0,74.0,99.60000000000001,0.0024760113887520203,0.0020033183054448166,0.002250919444320019,0.00018007355554560151
61,Fabian Delph,80000,4442629,Everton,eng ENG,MF,31.0,11.0,8.0,662.0,7.4,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.01,0.02,0.01,0.02,38.0,11.0,6.0,21.0,43.0,66.0,-23.0,39.0,-1.8,0.0,0.0,0.0,0.0
62,Salomón Rondón,80000,4442629,Everton,ve VEN,FW,31.0,20.0,8.0,790.0,8.8,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.11,0.11,0.23,0.11,0.23,2.2,2.2,0.7,2.9,0.25,0.09,0.33,0.25,0.33,38.0,11.0,6.0,21.0,43.0,66.0,-23.0,39.0,6.800000000000001,0.00022509194443200186,0.0004952022777504042,0.00022509194443200186,5.177114721936043e-05
63,Joe Willock,80000,4442629,Newcastle United,eng ENG,MF,21.0,29.0,24.0,2038.0,22.6,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,3.6,3.6,1.2,4.8,0.16,0.05,0.21,0.16,0.21,38.0,13.0,10.0,15.0,44.0,62.0,-18.0,49.0,17.599999999999998,0.0004501838888640037,0.0008103309999552067,0.0,2.025827499888017e-05
64,Boubakary Soumaré,80000,4442629,Leicester City,fr FRA,MF,22.0,19.0,12.0,1102.0,12.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.08,0.4,0.4,0.4,0.8,0.03,0.03,0.06,0.03,0.06,38.0,14.0,10.0,14.0,62.0,59.0,3.0,52.0,4.6,0.0,9.003677777280076e-05,0.00022509194443200186,1.8007355554560148e-05
65,Kelechi Iheanacho,80000,4442629,Leicester City,ng NGA,FW,24.0,26.0,13.0,1264.0,14.0,4.0,5.0,4.0,0.0,0.0,1.0,0.0,0.28,0.36,0.64,0.28,0.64,3.4,3.4,2.7,6.1,0.25,0.19,0.44,0.25,0.44,38.0,14.0,10.0,14.0,62.0,59.0,3.0,52.0,42.199999999999996,0.0009003677777280074,0.0007653126110688063,0.0011254597221600094,0.00014405884443648118
66,Bertrand Traoré,77885,4325156,Aston Villa,bf BFA,"MF,FW",25.0,9.0,1.0,220.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.13,0.0,0.13,0.13,0.13,38.0,13.0,6.0,19.0,52.0,54.0,-2.0,45.0,0.6,0.0,6.936166001873689e-05,0.0,0.0
